,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
Kabel,4.1342761715548875,-0.1307866144159542,-0.7863793563340151,-0.25994332176652085,-0.18276206329054034,1.4645340076458482,-0.18601687651291207,0.0,-0.18273189552405317,-0.18630957572698956,-0.18273189552405317,-0.19372567958130796,-0.1315088420564438,0.0,Kabel
kilo+meter kabel,4.1342761715548875,-0.1307866144159542,-0.7863793563340151,-0.25994332176652085,-0.18276206329054034,1.4645340076458482,-0.18601687651291207,0.0,-0.18273189552405317,-0.18630957572698956,-0.18273189552405317,-0.19372567958130796,-0.1315088420564438,0.0,kilo+meter kabel
Süden,4.109851750490389,-0.1248613078812465,-0.7804540497993074,-0.2540180152318131,-0.17683675675583266,1.4555568321161676,-0.1800915699782042,0.0,-0.17680658898934534,-0.18038426919228193,-0.17680658898934534,-0.18780037304660013,-0.12558353552173598,0.0,Süden
kabel süden,4.109851750490389,-0.1248613078812465,-0.7804540497993074,-0.2540180152318131,-0.17683675675583266,1.4555568321161676,-0.1800915699782042,0.0,-0.17680658898934534,-0.18038426919228193,-0.17680658898934534,-0.18780037304660013,-0.12558353552173598,0.0,kabel süden
süden hier,3.6320982115992306,-0.0012848514759618386,-0.656877593394023,-0.13044155882652866,-0.05326030035054803,1.2314426469767816,-0.056515113572919676,0.0,-0.05323013258406081,-0.056807812786997244,-0.05323013258406081,-0.06422391664131549,-0.002007079116451494,0.0,süden hier
sie suedlink,3.744428493660658,-0.031743350623738634,-0.6873360925417997,-0.16090005797430534,-0.08371879949832488,1.2942579721048988,-0.0869736127206963,0.0,-0.08368863173183762,-0.08726631193477409,-0.08368863173183762,-0.09468241578909234,-0.03246557826422822,0.0,sie suedlink
Eines,3.4104237607359673,0.061689095950953364,-0.5939036459671079,-0.06746761139961344,0.00971364707636712,1.0800770132458715,0.006458833853995497,0.0,0.00974381484285437,0.006166134639917837,0.00974381484285437,-0.0012499692144004105,0.06096686831046377,0.0,Eines
ein+es wichtig+st+en,3.383593121035478,0.06958745112163772,-0.5860052907964233,-0.059569256228928974,0.01761200224705172,1.0586156547755787,0.01435718902468014,0.0,0.017642170013538867,0.01406448981060238,0.017642170013538867,0.006648385956284097,0.06886522348114826,0.0,ein+es wichtig+st+en
Infrastrukturprojekte,3.355761124088467,0.07784704222232264,-0.5777456996957384,-0.05130966512824417,0.02587159334773636,1.0354806020646337,0.022616780125364774,0.0,0.025901761114223685,0.02232408091128719,0.025901761114223685,0.01490797705696884,0.07712481458183314,0.0,Infrastrukturprojekte
wichtig+st+en infrastruktur+projekt+e,3.355761124088467,0.07784704222232264,-0.5777456996957384,-0.05130966512824417,0.02587159334773636,1.0354806020646337,0.022616780125364774,0.0,0.025901761114223685,0.02232408091128719,0.025901761114223685,0.01490797705696884,0.07712481458183314,0.0,wichtig+st+en infrastruktur+projekt+e
infrastruktur+projekt+e deutschland,3.3088636662895414,0.09192082232491094,-0.5636719195931502,-0.03723588502565581,0.039945373450324714,0.9943167470219871,0.03669056022795327,0.0,0.03997554121681205,0.03639786101387546,0.03997554121681205,0.028981757159557257,0.09119859468442129,0.0,infrastruktur+projekt+e deutschland
nimmt,3.676317510218004,-0.013385925062535508,-0.6689786669805965,-0.1425426324131022,-0.06536137393712174,1.2571040557043747,-0.06861618715949334,0.0,-0.06533120617063436,-0.06890888637357098,-0.06533120617063436,-0.07632499022788913,-0.014108152703025035,0.0,nimmt
deutschland nehm+t,3.2902753114263597,0.09755440697524335,-0.5580383349428177,-0.031602300375323404,0.045578958100656965,0.9771830534673929,0.04232414487828551,0.0,0.04560912586714431,0.04203144566420768,0.04560912586714431,0.034615341809889615,0.09683217933475352,0.0,deutschland nehm+t
Sprung,3.2762721550019425,0.10181941159837661,-0.5537733303196845,-0.027337295752190096,0.04984396272379041,0.9639478216078494,0.04658914950141887,0.0,0.049874130490277564,0.04629645028734109,0.049874130490277564,0.03888034643302286,0.10109718395788714,0.0,Sprung
nehm+t sprung,3.2762721550019425,0.10181941159837661,-0.5537733303196845,-0.027337295752190096,0.04984396272379041,0.9639478216078494,0.04658914950141887,0.0,0.049874130490277564,0.04629645028734109,0.049874130490277564,0.03888034643302286,0.10109718395788714,0.0,nehm+t sprung
sprung elbe,3.2550225635464836,0.10832644193441598,-0.5472662999836448,-0.020830265416150656,0.05635099305982982,0.9432993629618527,0.05309617983745815,0.0,0.05638116082631719,0.052803480623380514,0.05638116082631719,0.04538737676906245,0.10760421429392646,0.0,sprung elbe
Zwischen,3.2481808827544576,0.11043053828405551,-0.5451622036340056,-0.0187261690665113,0.05845508940946916,0.9365009660911991,0.05520027618709776,0.0,0.05848525717595655,0.0549075769730201,0.05848525717595655,0.04749147311870161,0.10970831064356587,0.0,Zwischen
Wewelsfleth,3.238476970326314,0.11342250113670531,-0.5421702407813557,-0.015734206213861485,0.061447052262118954,0.9267285674218962,0.05819223903974736,0.0,0.06147722002860617,0.05789953982566988,0.06147722002860617,0.05048343597135153,0.11270027349621572,0.0,Wewelsfleth
zwischen wewelsfleth,3.238476970326314,0.11342250113670531,-0.5421702407813557,-0.015734206213861485,0.061447052262118954,0.9267285674218962,0.05819223903974736,0.0,0.06147722002860617,0.05789953982566988,0.06147722002860617,0.05048343597135153,0.11270027349621572,0.0,zwischen wewelsfleth
Schleswig-Holstein,3.2236212387363867,0.11802031357470925,-0.5375724283433517,-0.011136393775857602,0.06604486470012291,0.9114642030395775,0.0627900514777514,0.0,0.06607503246661003,0.06249735226367376,0.06607503246661003,0.055081248409355514,0.11729808593421956,0.0,Schleswig-Holstein
